time,temperature_2m_mean (°C),precipitation_sum (mm)
2025-09-01,26.8,1.30
2025-09-02,28.0,0.60
2025-09-03,29.2,0.20
2025-09-04,29.5,0.00
2025-09-05,31.0,0.00
2025-09-06,29.5,0.40
2025-09-07,24.5,23.10
2025-09-08,24.9,0.00
2025-09-09,24.6,0.00
2025-09-10,26.6,0.00
2025-09-11,27.9,0.10
2025-09-12,28.9,0.00
2025-09-13,28.4,0.00
2025-09-14,28.4,0.00
2025-09-15,28.5,0.10
2025-09-16,28.0,0.00
2025-09-17,28.3,0.00
2025-09-18,28.8,0.00
2025-09-19,28.7,0.00
2025-09-20,28.5,0.00
2025-09-21,29.6,0.10
2025-09-22,29.6,0.20
2025-09-23,30.6,0.40
2025-09-24,29.0,8.50
2025-09-25,26.0,0.90
2025-09-26,25.6,0.00
2025-09-27,25.8,0.00
2025-09-28,25.4,0.00
2025-09-29,25.0,0.00
2025-09-30,26.5,0.00
