time,temperature_2m_mean (°C),precipitation_sum (mm)
2025-09-01,21.1,0.00
2025-09-02,21.1,0.00
2025-09-03,20.3,0.00
2025-09-04,20.4,2.80
2025-09-05,22.6,6.50
2025-09-06,24.2,15.80
2025-09-07,18.6,22.30
2025-09-08,17.5,0.10
2025-09-09,17.3,0.00
2025-09-10,17.1,5.00
2025-09-11,20.6,0.00
2025-09-12,21.0,0.00
2025-09-13,20.4,0.70
2025-09-14,22.0,0.50
2025-09-15,22.1,0.00
2025-09-16,20.4,0.00
2025-09-17,18.9,6.80
2025-09-18,21.5,0.10
2025-09-19,22.4,0.00
2025-09-20,19.4,0.00
2025-09-21,17.3,0.00
2025-09-22,16.7,0.00
2025-09-23,21.8,0.00
2025-09-24,21.9,7.30
2025-09-25,21.5,50.70
2025-09-26,22.3,0.20
2025-09-27,20.6,0.00
2025-09-28,21.9,0.70
2025-09-29,20.8,0.00
2025-09-30,20.1,0.00
